rho,Average Energy per Particle,Average Pressure,Excess Chemical Potential
1.50000,-984737627.40699,566986552569.88391,-0.00000
1.60000,115128035344.76472,7368361760077.14453,-0.00000
1.70000,-10599054433.16659,20389413906.88575,-0.00000
1.80000,65192779585.57543,4766721883112.28516,-0.00000
1.90000,14168025387.86255,1093214043551.91260,-0.00000
2.00000,-180934261384641.75000,1237437893531.86426,-0.00000
2.10000,-3870413282.90854,123859934651.00987,-0.00000
2.20000,34391059032.39104,4340396146006.61719,-0.00000
2.30000,90309499152.94490,9269486784538.62109,-0.00000
2.40000,-1154218967.13392,36448636128.33033,-0.00000
2.50000,-12919303938810.32227,270452124580.74390,-0.00000
2.60000,10135000744.06665,1279170715797.02563,-0.00000
2.70000,-6713966682944.39844,2045244245.32128,-0.00000
2.80000,-141911408665801.71875,59400613147.85695,-0.00000
2.90000,-257910134686.01709,78759101251.12604,-0.00000
